what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1477974395351
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1477974395352
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1477974395354
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1477974395355
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1477974395356
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1477974395357
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1477974395357
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer",1477974395358
started,bundle,com.google.gdt.eclipse.designer.GXT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.GXT",1477974395359
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.SmartGWT",1477974395360
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer.UiBinder",1477974395361
started,bundle,com.google.gdt.eclipse.designer.hosted,2.4.2.r37x201110181233,"com.google.gdt.eclipse.designer.hosted",1477974395362
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1477974395364
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1477974395368
started,bundle,org.eclipse.wb.core,1.2.0.r37x201109270310,"org.eclipse.wb.core",1477974395369
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201109270310,"org.eclipse.wb.core.lib",1477974395371
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.core",1477974395372
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.ui",1477974395373
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1477974395373
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1477974395373
os,sysinfo,,,"win32",1477974395376
arch,sysinfo,,,"x86",1477974395376
ws,sysinfo,,,"win32",1477974395376
locale,sysinfo,,,"zh_CN",1477974395376
processors,sysinfo,,,"4",1477974395376
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1477974395376
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1477974395376
java.specification.name,sysinfo,,,"Java Platform API Specification",1477974395376
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1477974395376
java.specification.version,sysinfo,,,"1.6",1477974395376
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1477974395376
java.version,sysinfo,,,"1.6.0_30",1477974395376
java.vm.info,sysinfo,,,"mixed mode",1477974395376
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1477974395376
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1477974395376
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1477974395376
java.vm.specification.version,sysinfo,,,"1.0",1477974395376
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1477974395376
java.vm.version,sysinfo,,,"20.5-b03",1477974395376
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1477974395379
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1477974395393
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1477974396210
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1477974397421
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1477974397884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974401409
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1477974402555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974409280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1477974409290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974423437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974424350
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1477974430192
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1477974430341
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1477974430356
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1477974430418
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1477974430861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974430966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974436230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974591578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974703541
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1477974714613
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1477974714730
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1477974715821
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1477974715867
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1477974716282
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1477974716302
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1477974716425
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1477974716463
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1477974716557
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1477974719562
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1477974719645
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1477974719864
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1477974720903
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1477974720921
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1477974739530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477974739572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477974739578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1477974743175
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1477974746393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974783171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974785826
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974786868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974802028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974809539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974811840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974820527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974822108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974849116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974849982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974851762
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974881833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974881880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974883859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974886315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974947858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974949916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974960469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974963410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974964196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974964870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975045907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1477975054204
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1477975061948
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477975088756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477975092022
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1477975094741
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1477975096302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477975097910
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477975107353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1477975117516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975247043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975248269
